timestamp,position,velocity,acceleration,angular_rate,motor_controls
2024-11-26T17:31:57.175970,"[0.01655833050608635, -0.023008545860648155, 0.7636910676956177]","[-0.061133261770009995, -0.000878928869497031, -1.466429591178894]","[-0.07855224609375, 0.11576647311449051, -3.4961328506469727]","[-0.013768301, -0.11170631, -3.2563007]","[0.9583699107170105, 0.9667328000068665, 0.9361157417297363, 0.9138751029968262]"
2024-11-26T17:31:57.275832,"[0.005835745949298143, -0.021143697202205658, 0.5866743922233582]","[-0.06762202084064484, 0.011838099919259548, -1.764933705329895]","[0.022665979340672493, 0.10635169595479965, -2.472820281982422]","[0.10047991, -0.09999117, -2.865881]","[0.9945272207260132, 0.9974588751792908, 0.7965011596679688, 0.7725622653961182]"
2024-11-26T17:31:57.375871,"[-0.004238607827574015, -0.017780091613531113, 0.3653663992881775]","[-0.061985742300748825, 0.024531161412596703, -1.9601540565490723]","[0.11518947780132294, 0.10957415401935577, -1.4347234964370728]","[0.08876079, -0.07734922, -2.1707966]","[0.9757999777793884, 0.9730768799781799, 0.7534081935882568, 0.7384352684020996]"
2024-11-26T17:31:57.475954,"[-0.011735637672245502, -0.013560603372752666, 0.14180822670459747]","[-0.048657793551683426, 0.036291614174842834, -2.0743257999420166]","[0.14944370090961456, 0.09409176558256149, -0.8898246884346008]","[-0.0060467883, -0.053646136, -1.5305731]","[0.9379756450653076, 0.9384385943412781, 0.7574785351753235, 0.7475359439849854]"
2024-11-26T17:31:57.575978,"[-0.017057329416275024, -0.008407932706177235, -0.09048433601856232]","[-0.033809904009103775, 0.04655876383185387, -2.150447130203247]","[0.09752639383077621, 0.07013849914073944, -0.5721566677093506]","[-0.07289289, -0.04965282, -1.0107234]","[0.8898707032203674, 0.8920686841011047, 0.760712206363678, 0.7509735226631165]"
2024-11-26T17:31:57.676042,"[-0.020762670785188675, -0.0028842370957136154, -0.3152638077735901]","[-0.02706781215965748, 0.049378685653209686, -2.1635773181915283]","[0.03327791020274162, -0.020818201825022697, 0.36938297748565674]","[-0.08434382, -0.040599108, -0.6575888]","[0.8221455812454224, 0.8248907923698425, 0.7375078201293945, 0.7230438590049744]"
2024-11-26T17:31:57.776034,"[-0.01898837834596634, 0.007370905485004187, -0.570580005645752]","[-0.024480193853378296, 0.04905271902680397, -2.0892529487609863]","[-0.054435666650533676, -0.06296733021736145, 1.1266684532165527]","[-0.054795135, -0.024364516, -0.4056518]","[0.7768585681915283, 0.7786065340042114, 0.7196410298347473, 0.7109323740005493]"
2024-11-26T17:31:57.875945,"[-0.01639043726027012, 0.017464155331254005, -0.8136076927185059]","[-0.028709756210446358, 0.04543459787964821, -1.9419448375701904]","[-0.08374758809804916, -0.07464315742254257, 1.6060010194778442]","[-0.032957945, -0.01770677, -0.24133494]","[0.7509363889694214, 0.7509332299232483, 0.7131631374359131, 0.7055383324623108]"
2024-11-26T17:31:57.975890,"[-0.014487462118268013, 0.02676716446876526, -1.0253722667694092]","[-0.02529308944940567, 0.03771623596549034, -1.7830699682235718]","[0.0046774232760071754, -0.16337771713733673, 1.5601011514663696]","[0.015248667, -0.040881317, -0.014438142]","[0.73354172706604, 0.6938504576683044, 0.728322446346283, 0.7266358137130737]"
2024-11-26T17:31:58.075839,"[-0.013980145566165447, 0.03403220325708389, -1.206433653831482]","[-0.023921193554997444, 0.017358647659420967, -1.5915700197219849]","[-0.036597952246665955, -0.2633008360862732, 2.0101757049560547]","[-0.35253224, -0.115988985, -0.69727176]","[0.44047215580940247, 0.3705684542655945, 1.0, 0.9669316411018372]"
2024-11-26T17:31:58.175874,"[-0.004474894143640995, 0.04281773045659065, -1.3963260650634766]","[-0.022162992507219315, -0.011156768538057804, -1.473421335220337]","[-0.10342270880937576, -0.3430429995059967, 1.262755274772644]","[-0.061468903, 0.08932591, -1.5843691]","[0.6920577883720398, 0.6912682056427002, 0.755882978439331, 0.7108548283576965]"
2024-11-26T17:31:58.276001,"[0.012698662467300892, 0.05222637206315994, -1.5874807834625244]","[-0.03002520464360714, -0.03086908534169197, -1.3317769765853882]","[-0.20100060105323792, -0.2155141681432724, 1.7882399559020996]","[0.2133657, 0.16469748, -1.5345675]","[0.8066865801811218, 0.8195391893386841, 0.5954067707061768, 0.5850319266319275]"
2024-11-26T17:31:58.375890,"[0.018403315916657448, 0.05391886830329895, -1.7412701845169067]","[-0.043995849788188934, -0.03808370232582092, -1.1468771696090698]","[-0.07212572544813156, -0.02118203230202198, 1.6885136365890503]","[0.22534938, 0.082145564, -0.96997684]","[0.8371618986129761, 0.8464899659156799, 0.5678372383117676, 0.5798149704933167]"
2024-11-26T17:31:58.476055,"[0.02143438719213009, 0.05547845736145973, -1.8534719944000244]","[-0.04859832674264908, -0.02803785912692547, -1.0011284351348877]","[0.0189516581594944, 0.12054680287837982, 1.5421319007873535]","[0.076478265, -0.023315279, -0.44853017]","[0.8192654848098755, 0.8247343301773071, 0.6061102151870728, 0.6157001256942749]"
2024-11-26T17:31:58.575898,"[0.039784226566553116, 0.0649888888001442, -1.9924092292785645]","[-0.04013562947511673, -0.0089425602927804, -0.8713694214820862]","[0.04241609573364258, 0.09118877351284027, 1.4507712125778198]","[-0.061500452, -0.09469877, -0.03307565]","[0.7831476330757141, 0.7779463529586792, 0.6521955728530884, 0.6534123420715332]"
2024-11-26T17:31:58.675859,"[0.0554436519742012, 0.07364647835493088, -2.110888957977295]","[-0.03417458012700081, 0.000947381544392556, -0.7265350222587585]","[-0.06475254893302917, 0.01122561376541853, 1.448920488357544]","[-0.151782, -0.09283459, 0.22045632]","[0.756310760974884, 0.7507461309432983, 0.7002848386764526, 0.6850578188896179]"
2024-11-26T17:31:58.775849,"[0.06634417921304703, 0.08110291510820389, -2.2065043449401855]","[-0.041073236614465714, -0.0002923480933532119, -0.5888288021087646]","[-0.176645889878273, -0.10653325170278549, 1.2490947246551514]","[-0.11476415, -0.036109142, 0.32618347]","[0.7434263825416565, 0.739308774471283, 0.7328532338142395, 0.7166253924369812]"
2024-11-26T17:31:58.875849,"[0.07476744055747986, 0.08792874217033386, -2.284876823425293]","[-0.058390017598867416, -0.00753964576870203, -0.4823504686355591]","[-0.2544920742511749, -0.13104596734046936, 1.0307625532150269]","[-0.042060237, 0.00916493, 0.32724836]","[0.7385365962982178, 0.7394900918006897, 0.7495114803314209, 0.736595094203949]"
2024-11-26T17:31:58.975992,"[0.08248762786388397, 0.092057965695858, -2.350268602371216]","[-0.07377792149782181, -0.01643354631960392, -0.40318700671195984]","[-0.23344984650611877, -0.1523965299129486, 0.8042952418327332]","[0.011979832, 0.02753612, 0.30114952]","[0.7414981722831726, 0.7412116527557373, 0.7568920850753784, 0.7532956004142761]"
2024-11-26T17:31:59.075986,"[0.10871244221925735, 0.09787977486848831, -2.450366973876953]","[-0.07835943251848221, -0.026239706203341484, -0.3292897939682007]","[-0.22101187705993652, -0.07843302190303802, 0.8340566158294678]","[0.0034575444, 0.01928022, 0.25054932]","[0.7394692897796631, 0.7332910299301147, 0.7532477378845215, 0.7526208162307739]"
2024-11-26T17:31:59.175949,"[0.12724730372428894, 0.10088945180177689, -2.5209970474243164]","[-0.08587566018104553, -0.032889436930418015, -0.25999215245246887]","[-0.26149189472198486, -0.0726316049695015, 0.7747852206230164]","[-0.024239516, 0.013687579, 0.20074801]","[0.7389286160469055, 0.7376626133918762, 0.7541819214820862, 0.7531805634498596]"
